date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:54	109/109	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Jan%202025%2013:39:54%20GMT	https://www.austinadultmed.com/robots.txt		(from )
20:39:54	20520/20520	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2008:55:47%20GMT	https://www.austinadultmed.com/	D:/My%20Web%20Sites/b/www.austinadultmed.com/index.html	(from )
20:39:54	2369/2369	---MCZ	200	added ('OK')	text/css	etag:W/%22675fda78-941%22	https://www.austinadultmed.com/files/normalize.min.css	D:/My%20Web%20Sites/b/www.austinadultmed.com/files/normalize.min.css	(from https://www.austinadultmed.com/)
20:39:54	18303/18303	---MCZ	200	added ('OK')	text/css	etag:W/%22675fe09e-477f%22	https://www.austinadultmed.com/files/style.css	D:/My%20Web%20Sites/b/www.austinadultmed.com/files/style.css	(from https://www.austinadultmed.com/)
20:39:55	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%22675fda70-15283%22	https://www.austinadultmed.com/files/jquery-3.2.1.min.js	D:/My%20Web%20Sites/b/www.austinadultmed.com/files/jquery-3.2.1.min.js	(from https://www.austinadultmed.com/)
20:39:55	49154/49154	---M--	200	added ('OK')	image/png	etag:%22675fdaa0-c002%22	https://www.austinadultmed.com/files/ban.png	D:/My%20Web%20Sites/b/www.austinadultmed.com/files/ban.png	(from https://www.austinadultmed.com/)
20:39:55	2324/2324	---M--	200	added ('OK')	image/png	etag:%22675fdaa5-914%22	https://www.austinadultmed.com/files/form_arrow.png	D:/My%20Web%20Sites/b/www.austinadultmed.com/files/form_arrow.png	(from https://www.austinadultmed.com/)
20:39:55	3870/3870	---M--	200	added ('OK')	image/png	etag:%22675fda8c-f1e%22	https://www.austinadultmed.com/files/ann.png	D:/My%20Web%20Sites/b/www.austinadultmed.com/files/ann.png	(from https://www.austinadultmed.com/)
20:39:55	41064/41064	---M--	200	added ('OK')	image/png	etag:%22675fdaa8-a068%22	https://www.austinadultmed.com/files/step_img.png	D:/My%20Web%20Sites/b/www.austinadultmed.com/files/step_img.png	(from https://www.austinadultmed.com/)
20:39:55	75141/75141	---M--	200	added ('OK')	image/png	etag:%22675fdaab-12585%22	https://www.austinadultmed.com/files/tu-02.png	D:/My%20Web%20Sites/b/www.austinadultmed.com/files/tu-02.png	(from https://www.austinadultmed.com/)
20:39:56	64214/64214	---M--	200	added ('OK')	image/jpeg	etag:%22675fdab1-fad6%22	https://www.austinadultmed.com/files/tu_02.jpg	D:/My%20Web%20Sites/b/www.austinadultmed.com/files/tu_02.jpg	(from https://www.austinadultmed.com/)
20:39:56	12127/12127	---M--	200	added ('OK')	image/png	etag:%22675fda95-2f5f%22	https://www.austinadultmed.com/files/archivement_img.png	D:/My%20Web%20Sites/b/www.austinadultmed.com/files/archivement_img.png	(from https://www.austinadultmed.com/)
20:39:56	78465/78465	---M--	200	added ('OK')	image/jpeg	etag:%22675fdaae-13281%22	https://www.austinadultmed.com/files/tu_01.jpg	D:/My%20Web%20Sites/b/www.austinadultmed.com/files/tu_01.jpg	(from https://www.austinadultmed.com/)
20:39:56	434/434	---M--	200	added ('OK')	image/png	etag:%22675fda99-1b2%22	https://www.austinadultmed.com/files/arrow.png	D:/My%20Web%20Sites/b/www.austinadultmed.com/files/arrow.png	(from https://www.austinadultmed.com/)
20:39:57	5507/5507	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2008:00:13%20GMT	https://www.austinadultmed.com/disclaimer.html	D:/My%20Web%20Sites/b/www.austinadultmed.com/disclaimer.html	(from https://www.austinadultmed.com/)
20:39:57	4639/4639	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2007:59:16%20GMT	https://www.austinadultmed.com/privacy.html	D:/My%20Web%20Sites/b/www.austinadultmed.com/privacy.html	(from https://www.austinadultmed.com/)
20:39:57	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Jan%202025%2013:39:57%20GMT	https://www.austinadultmed.com/chrome-extension://gppongmhjkpfnbhagpmjfkannfbllamg/js/js.js	D:/My%20Web%20Sites/b/www.austinadultmed.com/chrome-extension_/gppongmhjkpfnbhagpmjfkannfbllamg/js/js.js	(from https://www.austinadultmed.com/privacy.html)
